GET 	 /api/v1/on-covid-19/logs 	 200 	 5.5ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 1.2ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.7ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.6ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 6.5ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 1.0ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.7ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 3.1ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.5ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.4ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.4ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.4ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.4ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.5ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.4ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.4ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.4ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.4ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.4ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 5.5ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 1.0ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.9ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.7ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.6ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.7ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 3.8ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.6ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 -ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 -ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 -ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 -ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 -ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 15ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 15ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 15ms
POST 	 /api/v1/on-covid-19/ 	 200 	 15ms
POST 	 /api/v1/on-covid-19/ 	 200 	 15ms
POST 	 /api/v1/on-covid-19/ 	 200 	 15ms
POST 	 /api/v1/on-covid-19/ 	 200 	 15ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 15ms
POST 	 /api/v1/on-covid-19/ 	 200 	 12.20ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.87ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 3.89ms
POST 	 /api/v1/on-covid-19/ 	 200 	 34.47ms
POST 	 /api/v1/on-covid-19/ 	 200 	 33.46ms
POST 	 /api/v1/on-covid-19/xml 	 200 	 26.0ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 0.6ms
POST 	 /api/v1/on-covid-19/json 	 200 	 16.1ms
POST 	 /api/v1/on-covid-19/json 	 200 	 28ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 1ms
POST 	 /api/v1/on-covid-19/xml 	 200 	 20ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 02ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 01ms
GET 	 /api/v1/on-covid-19/logs 	 200 	 01ms
